n,projet,nom,type,secteur,pays,responsable,annee,initiative,nature_appui,montant_appui,telephone,email
58,P14,Institut de Technologie et d’Animation,,"Agriculture, sylviculture et pêche",Haïti,,2024,Renforcement de l’autonomisation économique et sociale des femmes de l’Arrondissement d’Aquin,,80000,,
59,P14,Oganizasyon Fanm Travayè pou Devlopman Kanperen,,"Agriculture, sylviculture et pêche",Haïti,,2024,Appui à la promotion de l’entreprenariat des femmes dans la commune de Camp-Perrin en Haïti,,73860,,
60,P14,Eco-Sud,,Commerce,Maurice,,2024,Autonomisation des Femmes de la communauté de Ville Noire grâce à la vente de repas et de produits alimentaires agroécologiques,,95536,,
61,P14,Professionnels Avec Différence,,"Agriculture, sylviculture et pêche",Cameroun,,2024,"Accès aux opportunités économiques dans le domaine de la pisciculture, de l’élevage et de l’agriculture résiliente au changement climatique en faveur des femmes en situation de vulnérabilité à Eboné et Yaoundé",,96000,,
62,P14,Observatoire Béninois des Droits de l’Homme,,,Bénin,,2024,Projet d’appui à la formalisation des activités génératrices de revenus des mères célibataires,,41260,,
63,P14,Association Wadba,,"Culture, sport et loisirs",Djibouti,,2024,Bibliothèque Nomade de la Culture,,75000,,
64,P14,Rwanda Women Community Development Network,,"Agriculture, sylviculture et pêche",Rwanda,,2024,Autonomisation économique des femmes et filles de l’Espace Sûr du Rwanda Women’s Network par l’agriculture et la valorisation des produits forestiers,,71360,,
65,P14,Programme d’Aide Humanitaire aux Cas sociaux,,"Santé, SSR et services sociaux",Togo,,2024,Promotion de l’hygiène féminine et développement d’une unité de fabrication de serviettes hygiéniques réutilisables pour les femmes de la région des Plateaux,,73883,,
66,P14,Les Amis d’Haïti,,"Agriculture, sylviculture et pêche",Haïti,,2024,Appui à l’autonomisation socioéconomique des femmes et des filles mères dans le département des Nippes pour une production agricole durable axée sur l’entrepreneuriat en s’appuyant sur des techniques de transformation innovante des fruits et légumes,,80000,,
67,P14,Agir Ensemble Pour le Développement,,Commerce,Bénin,,2024,Plus d’amour,,23596,,
68,P14,Femmes Ingénieures Actives pour le Développement Inclusif,,"Agriculture, sylviculture et pêche",Burundi,,2024,"Les femmes rurales, pour un monde sans faim",,99981,,
69,P14,Association des Familles pour le Développement et l’Encadrement des Paysans,,"Agriculture, sylviculture et pêche",Haïti,,2024,Appui au renforcement de la résilience économique et sociale pour l’autonomisation des femmes vulnérables dans le département des Nippes (PARES-FEMMES),,59984,,
70,P14,"Association pour le Développement social, la lutte contre la Pauvreté et le réchauffement climatique",,"Agriculture, sylviculture et pêche",Cameroun,,2024,"Faire des PFNL une source de revenus pour les femmes, tout en protégeant les forêts",,48271,,
71,P14,Association Rwandaise des Ecologistes,,"Agriculture, sylviculture et pêche",Rwanda,,2024,Autonomisation des femmes par l’appui au développement d’une filière horticole résiliente au changement climatique en secteur Mukamira du District Nyabihu au Rwanda,,72002,,
72,P14,Fondation Mablé Agbodan,,Services et artisanat,Togo,,2024,"Formation professionnelle et insertion des filles, mères célibataires et femmes en situation de handicap à Tchamba et à Lomé",,100000,,
73,P14,ONG Institut international des sciences sociales,,Industrie,Madagascar,,2024,Méca Mama,,51187,,
74,P14,Passerelles Numériques,,TIC,Cambodge,,2024,Passer’Elles Numériques au Cambodge,,77482,,
75,P14,Association des Acteurs d’Insertion et du Développement,,"Agriculture, sylviculture et pêche",Congo,,2024,Projet d’autonomisation économique des femmes déplacées du district de Goma tsé-tsé,,68000,,
76,P14,Centre d’Etude et d’Appui au Développement local,,"Agriculture, sylviculture et pêche",Gabon,,2024,Appui à l’entrepreneuriat agricole des jeunes filles mères et des veuves pour une autonomisation financière durable,,69139,,
77,P14,Association des jeunes femmes entrepreneures du Sénégal,,"Agriculture, sylviculture et pêche",Sénégal,,2024,Ligeyel_Ellek,,79652,,
78,P14,Association des jeunes tchadiens pour l’orientation de service agronomique nutritionnel et environnemental,,"Agriculture, sylviculture et pêche",Tchad,,2024,Projet de résilience agricole en faveur des femmes vulnérables face au changement climatique,,62000,,
79,P14,Saboutech,,"Agriculture, sylviculture et pêche",Guinée,,2024,HydroFem,,98000,,
80,P14,Programme d’Appui au Développement Communautaire,,"Agriculture, sylviculture et pêche",République démocratique du Congo,,2024,"Projet de valorisation des produits forestiers non ligneux en faveur des femmes déplacées victimes des conflits armés à Kalehe dans la province du Sud-Kivu : cas du poivre noir, de la maniguette, de la caroube et de l’ésese dit « 4 côtés »",,72970,,
81,P14,Soeurs Pour Soeurs/ Tond Laa Taaba,,"Agriculture, sylviculture et pêche",Burkina Faso,,2024,"« Yèrèta » qui signifie en langue Dioula se prendre en charge soi-même, autonomie",,75000,,
82,P14,Association Malienne pour la Solidarité et le développement,,Education et formation,Mali,,2024,"Projet d’appui à l’intégration socio-économique durable des femmes et jeunes filles réfugiées et déplacées internes de Bamako par des formations professionnelles, des AGR",,100000,,
83,P14,Sos Handicap,,Education et formation,République démocratique du Congo,,2024,Projet d’appui à l’Entrepreneuriat de 45 femmes handicapées dans la ville de Bukavu,,80000,,
84,P14,Organização das Mulheres de Cabo Verde,,Education et formation,Cabo Verde,,2024,Renforcement des capacités économiques et de l’inclusion des femmes,,99963,,
85,P14,Association des Femmes pour le Développement Durable,,"Agriculture, sylviculture et pêche",République centrafricaine,,2024,Appui à l’autonomisation des femmes déplacées des villages Sabongo et Yombo dans l’agroécologie,,15500,,
86,P14,Gender Links,,"Agriculture, sylviculture et pêche",Maurice,,2024,L’agriculture durable pour l’émancipation des femmes,,99339,,
87,P14,Association pour un Liban Social et Solidaire Acteur de sa Reconstruction,,TIC,Liban,,2024,DIGIFEM : inclusion digitale et protection pour femmes et jeunes filles déplacées,,48511,,
88,P14,2Mains Comores,,"Agriculture, sylviculture et pêche",Comores,,2024,Appui à l’autonomisation des femmes dans le secteur primaire comorien,,70000,,
89,P14,Centre Thien Chi de soutien et de développement communautaire,,Education et formation,Vietnam,,2024,Autonomisation des femmes défavorisées grâce à l’indépendance économique et à l’accès aux soins de santé,,99450,,
90,P14,Centre de Promotion et de Développement de l’Emploi Vert,,"Agriculture, sylviculture et pêche",Bénin,,2024,Projet d’insertion socio-professionnelle des filles mères déscolarisées aux métiers de l’Agrobusiness,,60000,,
91,P14,Association Théâtre Mayton Promo,,TIC,Bénin,,2024,"Projet d'installation à l’Espace Communautaire Mayton de Zè d'un Centre de Formation aux métiers de l'audiovisuel, du numérique et multimédia",,22860,,
92,P14,Service d’Appui aux Initiatives de Microfinance et Développement,,"Agriculture, sylviculture et pêche, Commerce",Cameroun,,2024,"Autonomisation des femmes vulnérables par l’Agroforesterie, la valorisation et transformation du Ndjansang (Ricinodendron heudelotii) avec mesure de l’impact financier sur le revenu des agriculteurs/trices grâce à l’application mobile Fynka dans le département du Nyong et Mfoumou au Cameroun",,87960,,
93,P14,Madanyat For Equality,,Services et artisanat,Liban,,2024,Mihnati,,80000,,
94,P14,Coopération pour l’Appui au Développement Intégral du Togo,,TIC,Togo,,2024,Autonomisation Socio-économique et Inclusion Numérique des Femmes et Filles Maraîchères de Dévikinmé,,60888,,
95,P14,Centre Pour la Culture et le Développement de Carice (Sant pour la Kilti ak devlòpman Karis),,"Agriculture, sylviculture et pêche",Haïti,,2024,S'engager avec ELLES en Haïti : Projet d’appui au renforcement du leadership socio-économiques des femmes et filles dans la sous-région Haut Nord Est d’Haïti dans le contexte de la crise actuelle,,75000,,
96,P14,Association Pour la Protection de l'Environnement et le Développement Durable de la Population en Consortium avec CEMAC,,"Agriculture, sylviculture et pêche",Burundi,,2024,Projet d’accompagnement des Jeunes Femmes Vulnérables vers une Résilience Holistique,,100000,,
97,P14,Entrepreneurship Development Educational Network in Africa,,"Agriculture, sylviculture et pêche",Cameroun,,2024,Femmes agricultrices Multi potentielles,,100000,,
98,P14,Warchée,,Services et artisanat,Liban,,2024,Intégration de la Menuiserie Inclusive,,98000,,
99,P14,RED OAK,,Commerce,Liban,,2024,Renforcer l'autonomisation des femmes et filles dans la Bekaa par l'acquisition de compétences professionnelles et digitales,,80000,,
100,P14,Michel Daher Social Foundation,,Services et artisanat,Liban,,2024,Projet de renforcement des compétences numériques et technologiques des femmes et des filles dans les zones rurales de Bekaa,,99000,,
101,P14,Lebanese Social Responsability,,"Agriculture, sylviculture et pêche",Liban,,2024,Projet TAMKIN visant la création de coopératives féminines de femmes de Jbeil et Keserwan,,59000,,
102,P14,Makesense Lebanon,,,Liban,,2024,Accompagnement de femmes dans la formation et l’emploi au Liban,,97000,,
103,P14,Réseau Ouest Africain des Jeunes Femmes Leaders du Bénin,,,Bénin,,2024,Autonomisation durable des jeunes femmes et filles-mères vulnérables au Bénin par le renforcement de leurs capacités entrepreneuriales et d’employabilité,,100000,,
104,P14,Groupe Coopératif Mayendeleyo,,"Agriculture, agroalimentaire et pêche / Accès aux financements et entrepreneuriat féminin",Comores,,2025,Femmes en Action : Entrepreneuriat et autonomisation aux Comores,,98800,,
